from,to,count,pre_top_nt
AN19B025,CB0810,21,acetylcholine
AN19B025,eye_motor_neuron,20,acetylcholine
AN19B025,middle_leg_motor_neuron,23,acetylcholine
AN19B025,neck_roll_motor_neuron,265,acetylcholine
AN19B025,neck_roll_pitch_motor_neuron,6,acetylcholine
AN19B025,neck_yaw_motor_neuron,129,acetylcholine
AN19B025,wing_steering_motor_neuron,52,acetylcholine
AN19B025,wing_tension_motor_neuron,21,acetylcholine
DNpe013,IN19A003,48,acetylcholine
DNpe013,IN19A005,12,acetylcholine
DNpe013,eye_motor_neuron,99,acetylcholine
DNpe013,front_leg_motor_neuron,160,acetylcholine
DNpe013,neck_pitch_motor_neuron,599,acetylcholine
DNpe013,neck_roll_motor_neuron,102,acetylcholine
DNpe013,neck_yaw_motor_neuron,33,acetylcholine
DNpe013,wing_steering_motor_neuron,7,acetylcholine
IN19A003,DNpe013,21,gaba
IN19A003,IN19A005,11,gaba
IN19A003,IN21A001,132,gaba
IN19A003,IN21A012,108,gaba
IN19A003,front_leg_motor_neuron,2302,gaba
IN19A003,neck_roll_motor_neuron,14,gaba
IN19A005,front_leg_motor_neuron,1817,gaba
IN19A005,neck_roll_motor_neuron,9,gaba
IN21A001,IN19A003,12,glutamate
IN21A001,front_leg_motor_neuron,1255,glutamate
IN21A012,IN19A003,4,acetylcholine
IN21A012,IN21A001,42,acetylcholine
IN21A012,front_leg_motor_neuron,1018,acetylcholine
front_leg_motor_neuron,IN19A003,15,gaba
front_leg_motor_neuron,IN19A005,10,gaba
front_leg_motor_neuron,IN21A001,6,gaba
front_leg_motor_neuron,IN21A012,5,acetylcholine
front_leg_motor_neuron,neck_roll_motor_neuron,7,gaba
middle_leg_motor_neuron,wing_steering_motor_neuron,4,acetylcholine
neck_pitch_motor_neuron,DNpe013,3,gaba
neck_pitch_motor_neuron,neck_roll_motor_neuron,5,gaba
neck_pitch_motor_neuron,neck_yaw_motor_neuron,7,gaba
neck_roll_motor_neuron,front_leg_motor_neuron,6,gaba
neck_roll_motor_neuron,neck_pitch_motor_neuron,3,acetylcholine
neck_roll_motor_neuron,neck_roll_pitch_motor_neuron,11,glutamate
neck_roll_motor_neuron,neck_yaw_motor_neuron,11,glutamate
neck_roll_motor_neuron,wing_steering_motor_neuron,3,glutamate
neck_yaw_motor_neuron,neck_pitch_motor_neuron,5,gaba
neck_yaw_motor_neuron,neck_roll_motor_neuron,11,gaba
wing_steering_motor_neuron,middle_leg_motor_neuron,3,gaba
wing_steering_motor_neuron,wing_tension_motor_neuron,32,gaba
wing_tension_motor_neuron,middle_leg_motor_neuron,8,gaba
wing_tension_motor_neuron,wing_steering_motor_neuron,22,gaba
